,觀測時間,溫度(°C),天氣,風向,風力 (m/s),陣風 (m/s),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,2024-05-07 17:10:00,27.982,陰,北北東,1.62,--,>30,65,1012.1,0.0,3.4
1,2024-05-07 17:00:00,27.982,陰,東北,2.42,5.13,21-30,64,1012.0,0.0,3.4
2,2024-05-07 16:50:00,28.082,陰,北北東,2.12,--,>30,64,1012.0,0.0,3.4
3,2024-05-07 16:40:00,28.082,陰,北,2.22,--,>30,65,1012.0,0.0,3.4
4,2024-05-07 16:30:00,28.082,陰,北北東,1.92,--,>30,65,1011.9,0.0,3.4
5,2024-05-07 16:20:00,27.982,陰,北北東,1.92,--,>30,65,1011.9,0.0,3.4
6,2024-05-07 16:10:00,27.882,陰,北北東,2.62,--,>30,65,1012.0,0.0,3.4
7,2024-05-07 16:00:00,28.082,陰,東北,2.12,5.43,>30,64,1012.2,0.0,3.4
8,2024-05-07 15:50:00,28.283,陰,北,2.42,--,>30,64,1012.3,0.0,3.4
9,2024-05-07 15:40:00,28.483,陰,北北東,2.22,--,>30,63,1012.3,0.0,3.4
10,2024-05-07 15:30:00,28.082,陰,北北東,2.42,--,>30,64,1012.4,0.0,3.4
11,2024-05-07 15:20:00,28.183,陰,北北東,2.32,--,>30,64,1012.5,0.0,3.4
12,2024-05-07 15:10:00,28.383,陰,北北東,2.12,--,>30,64,1012.5,0.0,3.4
13,2024-05-07 15:00:00,28.583,陰,北北東,2.22,6.34,>30,64,1012.6,0.0,3.4
14,2024-05-07 14:50:00,28.283,陰,北,2.22,--,>30,64,1012.9,0.0,3.4
15,2024-05-07 14:40:00,28.483,陰,北,2.42,--,>30,64,1012.9,0.0,3.4
16,2024-05-07 14:30:00,28.383,陰,北,3.32,--,>30,64,1013.0,0.0,3.4
17,2024-05-07 14:20:00,28.683,陰,北,2.92,--,>30,64,1012.9,0.0,3.4
18,2024-05-07 14:10:00,28.984,陰,北,2.52,--,>30,64,1012.9,0.0,3.4
19,2024-05-07 14:00:00,29.785,多雲,北北東,2.02,--,21-30,60,1012.9,0.0,3.4
20,2024-05-07 13:50:00,29.685,陰,北北東,2.22,--,>30,58,1012.9,0.0,3.4
21,2024-05-07 13:40:00,29.585,陰,北北東,2.82,--,>30,58,1013.0,0.0,3.4
22,2024-05-07 13:30:00,29.585,陰,北北東,2.32,--,>30,59,1013.1,0.0,3.4
23,2024-05-07 13:20:00,29.685,陰,北北東,3.22,--,>30,59,1013.3,0.0,3.4
24,2024-05-07 13:10:00,29.685,陰,北,2.52,--,>30,59,1013.5,0.0,3.4
25,2024-05-07 13:00:00,29.685,陰,北北東,2.22,6.94,>30,59,1013.7,0.0,3.3
26,2024-05-07 12:50:00,29.385,陰,北北東,2.92,--,>30,60,1013.7,0.0,3.3
27,2024-05-07 12:40:00,29.485,陰,北北東,2.02,--,>30,62,1013.6,0.0,3.1
28,2024-05-07 12:30:00,29.385,陰,北,2.22,--,>30,63,1013.8,0.0,3.1
29,2024-05-07 12:20:00,29.385,陰,北,2.82,--,>30,63,1013.9,0.0,3.1
30,2024-05-07 12:10:00,29.385,陰,北,2.32,--,>30,62,1013.8,0.0,3.1
31,2024-05-07 12:00:00,29.285,陰,北,2.82,5.84,>30,63,1013.9,0.0,3.1
32,2024-05-07 11:50:00,29.785,陰,北,2.02,--,>30,61,1013.9,0.0,3.1
33,2024-05-07 11:40:00,30.186,陰,北北東,2.52,--,>30,59,1013.9,0.0,3.1
34,2024-05-07 11:30:00,29.986,陰,東北,2.32,--,>30,59,1014.0,0.0,3.1
35,2024-05-07 11:20:00,29.986,陰,東北,2.02,--,>30,59,1013.9,0.0,3.1
36,2024-05-07 11:10:00,29.986,陰,東北,2.42,--,>30,58,1013.8,0.0,3.1
37,2024-05-07 11:00:00,30.587,多雲,北北東,2.42,--,21-30,59,1013.8,0.0,3.1
38,2024-05-07 10:50:00,29.886,陰,北北東,2.02,--,>30,60,1013.8,0.0,3.0
39,2024-05-07 10:40:00,29.785,陰,東北,1.51,--,>30,61,1013.8,0.0,3.0
40,2024-05-07 10:30:00,30.186,多雲,東,1.62,--,>30,61,1013.9,0.0,3.0
41,2024-05-07 10:20:00,30.186,多雲,東,1.51,--,>30,61,1013.9,0.0,3.0
42,2024-05-07 10:10:00,29.886,多雲,東北,2.52,--,>30,61,1013.8,0.0,3.0
43,2024-05-07 10:00:00,29.184,晴,東北,2.22,5.84,>30,62,1013.9,0.0,2.9
44,2024-05-07 09:50:00,29.385,晴,北北東,2.52,--,>30,61,1014.0,0.0,2.7
45,2024-05-07 09:40:00,29.585,晴,北北東,2.52,--,>30,63,1014.1,0.0,2.5
46,2024-05-07 09:30:00,28.984,晴,東北,2.32,--,>30,64,1014.1,0.0,2.4
47,2024-05-07 09:20:00,28.984,多雲,東北東,1.62,--,>30,65,1014.2,0.0,2.2
48,2024-05-07 09:10:00,28.483,多雲,北北東,2.12,--,>30,65,1014.4,0.0,2.0
49,2024-05-07 09:00:00,28.383,多雲,東北東,1.51,4.53,>30,68,1014.4,0.0,1.9
50,2024-05-07 08:50:00,28.082,多雲,東北東,1.62,--,>30,68,1014.3,0.0,1.7
51,2024-05-07 08:40:00,28.183,陰,東,1.92,--,>30,68,1014.3,0.0,1.6
52,2024-05-07 08:30:00,27.381,陰,東,1.82,--,>30,70,1014.3,0.0,1.4
53,2024-05-07 08:20:00,27.081,陰,東北東,2.02,--,>30,71,1014.4,0.0,1.2
54,2024-05-07 08:10:00,26.880,陰,東北東,1.92,--,>30,72,1014.5,0.0,1.1
55,2024-05-07 08:00:00,26.880,多雲,東北,1.72,--,16-20,74,1014.4,0.0,1.0
56,2024-05-07 07:50:00,26.279,多雲,北北東,1.51,--,>30,76,1014.3,0.0,1.0
57,2024-05-07 07:40:00,25.979,多雲,東北東,1.41,--,>30,79,1014.5,0.0,1.0
58,2024-05-07 07:30:00,25.878,陰,東北,1.11,--,21-30,81,1014.5,0.0,0.9
59,2024-05-07 07:20:00,25.578,陰,北,0.51,--,>30,82,1014.6,0.0,0.7
60,2024-05-07 07:10:00,25.277,陰,北,0.20,--,21-30,82,1014.3,0.0,0.6
61,2024-05-07 07:00:00,24.977,陰,東北東,0.91,2.82,21-30,84,1014.2,0.0,0.4
62,2024-05-07 06:50:00,24.776,陰,東北東,1.51,--,21-30,85,1014.2,0.0,0.2
63,2024-05-07 06:40:00,24.576,陰,東北東,1.01,--,21-30,85,1014.1,0.0,0.1
64,2024-05-07 06:30:00,24.276,陰,東北,1.01,--,21-30,86,1013.9,0.0,0.0
65,2024-05-07 06:20:00,24.276,陰,北北東,1.31,--,21-30,86,1013.7,0.0,0.0
66,2024-05-07 06:10:00,24.175,陰,東北,1.21,--,21-30,86,1013.7,0.0,0.0
67,2024-05-07 06:00:00,24.075,陰,東北,1.21,2.62,21-30,87,1013.7,0.0,0.0
68,2024-05-07 05:50:00,24.175,陰,東北東,0.71,--,21-30,86,1013.5,0.0,0.0
69,2024-05-07 05:40:00,24.175,陰,東北,0.71,--,21-30,87,1013.4,0.0,0.0
70,2024-05-07 05:30:00,24.175,陰,北北東,0.61,--,21-30,88,1013.4,0.0,0.0
71,2024-05-07 05:20:00,24.175,陰,東,0.61,--,21-30,87,1013.3,0.0,0.0
72,2024-05-07 05:10:00,24.175,多雲,東,0.51,--,21-30,87,1013.3,0.0,0.0
73,2024-05-07 05:00:00,24.075,陰,東,0.41,2.12,21-30,88,1013.3,0.0,0.0
74,2024-05-07 04:50:00,24.175,陰,東北東,1.11,--,21-30,87,1013.2,0.0,0.0
75,2024-05-07 04:40:00,24.276,陰,北北東,0.61,--,21-30,87,1013.3,0.0,0.0
76,2024-05-07 04:30:00,24.175,陰,北,0.31,--,21-30,88,1013.3,0.0,0.0
77,2024-05-07 04:20:00,24.276,陰,東北,0.51,--,21-30,87,1013.2,0.0,0.0
78,2024-05-07 04:10:00,24.276,陰,東,0.61,--,21-30,87,1013.1,0.0,0.0
79,2024-05-07 04:00:00,24.276,陰,東,0.71,2.32,21-30,86,1013.1,0.0,0.0
80,2024-05-07 03:50:00,24.276,陰,東南東,0.31,--,21-30,86,1013.0,0.0,0.0
81,2024-05-07 03:40:00,24.276,陰,東北東,0.41,--,21-30,86,1012.9,0.0,0.0
82,2024-05-07 03:30:00,24.276,陰,東,0.31,--,21-30,86,1012.9,0.0,0.0
83,2024-05-07 03:20:00,24.276,陰,東北東,0.71,--,16-20,86,1012.9,0.0,0.0
84,2024-05-07 03:10:00,24.276,陰,東北東,1.31,--,16-20,87,1012.8,0.0,0.0
85,2024-05-07 03:00:00,24.276,陰,東北,1.31,3.73,16-20,87,1012.9,0.0,0.0
86,2024-05-07 02:50:00,24.276,陰,東北,1.21,--,11-15,87,1012.9,0.0,0.0
87,2024-05-07 02:40:00,24.376,陰,東北東,1.51,--,11-15,86,1012.9,0.0,0.0
88,2024-05-07 02:30:00,24.476,陰,東北,1.72,--,11-15,86,1013.0,0.0,0.0
89,2024-05-07 02:20:00,24.476,陰,北北東,1.82,--,11-15,85,1013.0,0.0,0.0
90,2024-05-07 02:10:00,24.576,陰,北北東,1.31,--,11-15,85,1012.9,0.0,0.0
91,2024-05-07 02:00:00,24.576,多雲,北北東,1.31,3.63,11-15,85,1012.9,0.0,0.0
92,2024-05-07 01:50:00,24.676,多雲,北北東,1.31,--,21-30,84,1012.9,0.0,0.0
93,2024-05-07 01:40:00,24.676,多雲,北北東,1.51,--,21-30,83,1012.9,0.0,0.0
94,2024-05-07 01:30:00,24.676,多雲,東北東,0.41,--,21-30,84,1012.8,0.0,0.0
95,2024-05-07 01:20:00,24.576,多雲,東,0.51,--,16-20,85,1012.8,0.0,0.0
96,2024-05-07 01:10:00,24.576,多雲,東,0.51,--,16-20,85,1012.9,0.0,0.0
97,2024-05-07 01:00:00,24.676,多雲,東北,0.71,2.22,16-20,84,1012.9,0.0,0.0
98,2024-05-07 00:50:00,24.776,多雲,東北,0.71,--,16-20,84,1013.0,0.0,0.0
99,2024-05-07 00:40:00,24.877,多雲,東北,1.11,--,16-20,84,1013.1,0.0,0.0
100,2024-05-07 00:30:00,24.877,晴,東北東,0.71,--,16-20,84,1013.0,0.0,0.0
101,2024-05-07 00:20:00,24.877,晴,東北,1.01,--,16-20,84,1013.1,0.0,0.0
102,2024-05-07 00:10:00,24.877,晴,東北,0.91,--,16-20,84,1013.2,0.0,0.0
103,2024-05-07 00:00:00,24.977,晴,東,1.01,4.23,16-20,84,1013.3,0.0,8.6
104,2024-05-06 23:50:00,25.077,多雲,東北東,1.82,--,16-20,83,1013.3,0.0,8.6
105,2024-05-06 23:40:00,25.177,多雲,東北東,1.82,--,16-20,83,1013.4,0.0,8.6
106,2024-05-06 23:30:00,25.077,多雲,東,1.51,--,16-20,84,1013.3,0.0,8.6
107,2024-05-06 23:20:00,25.378,多雲,東,1.31,--,16-20,83,1013.2,0.0,8.6
108,2024-05-06 23:10:00,25.277,多雲,東,1.82,--,16-20,84,1013.2,0.0,8.6
109,2024-05-06 23:00:00,25.478,多雲,東北東,1.51,3.73,16-20,84,1013.2,0.0,8.6
110,2024-05-06 22:50:00,25.778,多雲,東北,1.21,--,16-20,84,1013.3,0.0,8.6
111,2024-05-06 22:40:00,25.878,多雲,東北東,1.51,--,16-20,83,1013.3,0.0,8.6
112,2024-05-06 22:30:00,25.878,多雲,東,1.62,--,11-15,84,1013.4,0.0,8.6
113,2024-05-06 22:20:00,25.878,多雲,東北東,1.82,--,11-15,84,1013.4,0.0,8.6
114,2024-05-06 22:10:00,25.979,多雲,東北東,1.41,--,11-15,84,1013.5,0.0,8.6
115,2024-05-06 22:00:00,26.079,多雲,東北東,0.81,2.62,11-15,84,1013.4,0.0,8.6
116,2024-05-06 21:50:00,26.279,多雲,東,1.01,--,11-15,84,1013.4,0.0,8.6
117,2024-05-06 21:40:00,26.379,多雲,東,0.61,--,11-15,83,1013.3,0.0,8.6
118,2024-05-06 21:30:00,26.279,多雲,東,0.91,--,11-15,83,1013.3,0.0,8.6
119,2024-05-06 21:20:00,26.379,多雲,東,1.01,--,11-15,82,1013.3,0.0,8.6
120,2024-05-06 21:10:00,26.480,多雲,東,0.91,--,11-15,81,1013.2,0.0,8.6
121,2024-05-06 21:00:00,26.580,陰,東北東,1.01,3.12,16-20,79,1013.1,0.0,8.6
122,2024-05-06 20:50:00,26.680,陰,東北東,1.31,--,21-30,78,1013.0,0.0,8.6
123,2024-05-06 20:40:00,26.780,陰,東北,1.01,--,21-30,78,1013.0,0.0,8.6
124,2024-05-06 20:30:00,26.780,陰,東北東,1.41,--,21-30,78,1013.0,0.0,8.6
125,2024-05-06 20:20:00,27.081,陰,東北東,0.51,--,21-30,77,1012.8,0.0,8.6
126,2024-05-06 20:10:00,26.980,陰,東北,1.21,--,16-20,77,1012.7,0.0,8.6
127,2024-05-06 20:00:00,26.980,陰,北北東,1.21,4.03,16-20,79,1012.5,0.0,8.6
128,2024-05-06 19:50:00,27.081,陰,東,1.51,--,16-20,79,1012.4,0.0,8.6
129,2024-05-06 19:40:00,27.181,陰,東,1.51,--,16-20,79,1012.3,0.0,8.6
130,2024-05-06 19:30:00,27.381,陰,東,1.41,--,16-20,78,1012.1,0.0,8.6
131,2024-05-06 19:20:00,27.381,陰,東,1.31,--,16-20,78,1012.0,0.0,8.6
132,2024-05-06 19:10:00,27.481,陰,東,1.31,--,16-20,79,1011.9,0.0,8.6
133,2024-05-06 19:00:00,27.381,陰,東,1.11,3.73,16-20,80,1011.9,0.0,8.6
134,2024-05-06 18:50:00,27.481,陰,東,1.11,--,11-15,80,1011.8,0.0,8.6
135,2024-05-06 18:40:00,27.481,陰,東北,1.51,--,11-15,80,1011.8,0.0,8.6
136,2024-05-06 18:30:00,27.582,陰,北北東,1.51,--,11-15,80,1011.7,0.0,8.6
137,2024-05-06 18:20:00,27.782,陰,東北東,1.62,--,11-15,78,1011.8,0.0,8.6
138,2024-05-06 18:10:00,27.782,陰,北北東,1.92,--,16-20,78,1011.7,0.0,8.6
139,2024-05-06 18:00:00,27.982,陰,北北東,1.72,3.93,16-20,78,1011.6,0.0,8.6
140,2024-05-06 17:50:00,28.183,陰,北北東,1.82,--,16-20,77,1011.6,0.0,8.6
141,2024-05-06 17:40:00,28.183,陰,北北東,1.31,--,16-20,77,1011.4,0.0,8.6
142,2024-05-06 17:30:00,28.183,陰,北,1.72,--,16-20,76,1011.3,0.0,8.6
143,2024-05-06 17:20:00,28.283,陰,北北西,1.72,--,16-20,77,1011.3,0.0,8.6
144,2024-05-06 17:10:00,28.683,陰,北北西,1.62,--,>30,73,1011.2,0.0,8.4
145,2024-05-06 17:00:00,28.784,多雲,北北西,1.11,--,21-30,69,1011.2,0.0,8.3
146,2024-05-06 16:50:00,28.984,陰,西北,1.01,--,>30,70,1011.1,0.0,8.1
147,2024-05-06 16:40:00,28.683,陰,北北西,0.71,--,>30,70,1011.0,0.0,8.0
148,2024-05-06 16:30:00,28.884,陰,西北,1.01,--,>30,70,1011.0,0.0,7.9
149,2024-05-06 16:20:00,29.184,陰,北北西,1.01,--,>30,70,1010.9,0.0,7.8
